time_s,h_plus,h_cross,amplitude,frequency_Hz
1.3400268005e-03,-3.3208493834e-22,-8.5895027209e-23,3.4301364692e-22,30.125130
1.3600272005e-03,-3.3177120383e-22,-8.7155216363e-23,3.4302793389e-22,30.127012
1.3800276006e-03,-3.3145266899e-22,-8.8414340230e-23,3.4304222384e-22,30.128895
1.4000280006e-03,-3.3112933708e-22,-8.9672380481e-23,3.4305651677e-22,30.130778
1.4200284006e-03,-3.3080121144e-22,-9.0929318799e-23,3.4307081267e-22,30.132662
1.4400288006e-03,-3.3046829547e-22,-9.2185136872e-23,3.4308511156e-22,30.134545
1.4600292006e-03,-3.3013059265e-22,-9.3439816399e-23,3.4309941342e-22,30.136430
1.4800296006e-03,-3.2978810651e-22,-9.4693339086e-23,3.4311371827e-22,30.138314
1.5000300006e-03,-3.2944084067e-22,-9.5945686650e-23,3.4312802609e-22,30.140200
1.5200304006e-03,-3.2908879882e-22,-9.7196840818e-23,3.4314233691e-22,30.142085
1.5400308006e-03,-3.2873198471e-22,-9.8446783325e-23,3.4315665070e-22,30.143971
1.5600312006e-03,-3.2837040216e-22,-9.9695495917e-23,3.4317096748e-22,30.145858
1.5800316006e-03,-3.2800405507e-22,-1.0094296035e-22,3.4318528725e-22,30.147745
1.6000320006e-03,-3.2763294740e-22,-1.0218915839e-22,3.4319961001e-22,30.149632
1.6200324006e-03,-3.2725708317e-22,-1.0343407182e-22,3.4321393576e-22,30.151520
1.6400328007e-03,-3.2687646650e-22,-1.0467768243e-22,3.4322826450e-22,30.153408
1.6600332007e-03,-3.2649110155e-22,-1.0591997202e-22,3.4324259623e-22,30.155297
1.6800336007e-03,-3.2610099257e-22,-1.0716092239e-22,3.4325693095e-22,30.157186
1.7000340007e-03,-3.2570614387e-22,-1.0840051538e-22,3.4327126866e-22,30.159075
1.7200344007e-03,-3.2530655983e-22,-1.0963873282e-22,3.4328560937e-22,30.160965
1.7400348007e-03,-3.2490224490e-22,-1.1087555656e-22,3.4329995308e-22,30.162855
1.7600352007e-03,-3.2449320361e-22,-1.1211096846e-22,3.4331429978e-22,30.164746
