Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE,x1_Newton,y1_Newton,x2_Newton,y2_Newton,x3_Newton,y3_Newton,dx1_1000,dy1_1000,dx2_1000,dy2_1000,dx3_1000,dy3_1000
1400000.000,+4192270.740578,+373507.352944,-2828041.160375,+4303604.303197,-1355527.736543,-4681773.120002,-41873.834962,-385742.256288,+4391166.008404,-4654857.284466,-4349292.173443,+5040599.540754,-26.631,+10.934,+11.296,-8.041,+15.739,-2.818
1500000.000,+4491718.899842,+400186.514383,-3030044.236380,+4611004.870935,-1452351.258988,-5016185.810967,-44864.573125,-413295.366076,+4704820.373463,-4987346.793333,-4659955.800339,+5400642.159409,-28.533,+11.715,+12.103,-8.616,+16.864,-3.019
1600000.000,+4791167.060256,+426865.676014,-3232047.313049,+4918405.439510,-1549174.781918,-5350598.502960,-47855.310759,-440848.476039,+5018474.736519,-5319836.300220,-4970619.425760,+5760684.776259,-30.434,+12.496,+12.910,-9.190,+17.988,-3.221
1700000.000,+5090615.221679,+453544.837813,-3434050.390303,+5225806.008816,-1645998.305271,-5685011.195855,-50846.047928,-468401.586154,+5332129.097815,-5652325.805368,-5281283.049887,+6120727.391523,-32.337,+13.277,+13.716,-9.766,+19.112,-3.422
1800000.000,+5390063.383997,+480223.999760,-3636053.468073,+5533206.578777,-1742821.829001,-6019423.889549,-53836.784685,-495954.696405,+5645783.457552,-5984815.308976,-5591946.672867,+6480770.005381,-34.240,+14.058,+14.524,-10.339,+20.236,-3.623
1900000.000,+5689511.547112,+506903.161841,-3838056.546305,+5840607.149315,-1839645.353067,-6353836.583955,-56827.521075,-523507.806777,+5959437.815899,-6317304.811210,-5902610.294824,+6840812.617987,-36.142,+14.839,+15.330,-10.913,+21.360,-3.824
2000000.000,+5988959.710945,+533582.324041,-4040059.624950,+6148007.720373,-1936468.877433,-6688249.279000,-59818.257135,-551060.917257,+6273092.172997,-6649794.312212,-6213273.915863,+7200855.229468,-38.043,+15.620,+16.138,-11.487,+22.485,-4.027
2100000.000,+6288407.875421,+560261.486348,-4242062.703970,+6455408.291901,-2033292.402071,-7022661.974622,-62808.992897,-578614.027836,+6586746.528970,-6982283.812100,-6523937.536073,+7560897.839936,-39.947,+16.401,+16.943,-12.062,+23.609,-4.227
2200000.000,+6587856.040484,+586940.648753,-4444065.783326,+6762808.863853,-2130115.926956,-7357074.670770,-65799.728390,-606167.138503,+6900400.883922,-7314773.310980,-6834601.155533,+7920940.449483,-41.849,+17.182,+17.753,-12.637,+24.733,-4.429
2300000.000,+6887304.206082,+613619.811247,-4646068.862994,+7070209.436195,-2226939.452064,-7691487.367392,-68790.463637,-633720.249251,+7214055.237944,-7647262.808942,-7145264.774308,+8280983.058193,-43.749,+17.963,+18.557,-13.211,+25.857,-4.630
