Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
400000000.000,+1560476960.021441,-129803127.612435,-1259181304.260288,+675592754.905953,-300686892.062496,-546815394.113306
410000000.000,+1599488884.288256,-133048205.788695,-1290660836.978946,+692482573.812737,-308204064.160655,-560485778.997187
420000000.000,+1638500808.555071,-136293283.869647,-1322140369.697604,+709372392.719521,-315721236.258815,-574156163.881068
430000000.000,+1677512732.821886,-139538361.896895,-1353619902.416263,+726262211.626305,-323238408.356975,-587826548.764948
440000000.000,+1716524657.088701,-142783439.924144,-1385099435.134921,+743152030.533089,-330755580.455135,-601496933.648829
450000000.000,+1755536581.355516,-146028517.951392,-1416578967.853580,+760041849.439873,-338272752.553294,-615167318.532709
460000000.000,+1794548505.622332,-149273595.978641,-1448058500.572238,+776931668.346657,-345789924.651454,-628837703.416590
470000000.000,+1833560429.889147,-152518674.005889,-1479538033.290897,+793821487.253441,-353307096.749614,-642508088.300471
480000000.000,+1872572354.155962,-155763752.033137,-1511017566.009555,+810711306.160225,-360824268.847774,-656178473.184351
490000000.000,+1911584278.422777,-159008830.060386,-1542497098.728214,+827601125.067009,-368341440.945934,-669848858.068232
500000000.000,+1950596202.689592,-162253908.087634,-1573976631.446872,+844490943.973793,-375858613.044093,-683519242.952113
510000000.000,+1989608126.956408,-165498986.114882,-1605456164.165530,+861380762.880577,-383375785.142253,-697189627.835993
520000000.000,+2028620051.223223,-168744064.142131,-1636935696.884189,+878270581.787362,-390892957.240413,-710860012.719874
530000000.000,+2067631975.490038,-171989142.169379,-1668415229.602847,+895160400.694146,-398410129.338573,-724530397.603754
540000000.000,+2106643899.756853,-175234220.196628,-1699894762.321506,+912050219.600930,-405927301.436733,-738200782.487635
550000000.000,+2145655824.023668,-178479298.223876,-1731374295.040164,+928940038.507714,-413444473.534892,-751871167.371516
560000000.000,+2184667746.018004,-181724376.251124,-1762853827.758823,+945829857.414498,-420961645.633052,-765541552.255396
570000000.000,+2223679667.900633,-184969454.278373,-1794333360.477481,+962719676.321282,-428478817.731212,-779211937.139277
580000000.000,+2262691589.783263,-188214532.305621,-1825812893.196140,+979609495.228066,-435995989.829372,-792882322.023157
590000000.000,+2301703511.665892,-191459610.332869,-1857292425.914798,+996499314.134850,-443513161.927532,-806552706.907038
600000000.000,+2340715433.548522,-194704688.360118,-1888771958.633456,+1013389133.041634,-451030334.025691,-820223091.790919
610000000.000,+2379727355.431151,-197949766.387366,-1920251491.352115,+1030278951.948418,-458547506.123851,-833893476.674799
620000000.000,+2418739277.313780,-201194844.414615,-1951731024.070773,+1047168770.855202,-466064678.222011,-847563861.558680
630000000.000,+2457751199.196410,-204439922.441863,-1983210556.789432,+1064058589.761986,-473581850.320171,-861234246.442561
640000000.000,+2496763121.079039,-207685000.469111,-2014690089.508090,+1080948409.177415,-481099022.418330,-874904631.326441
650000000.000,+2535775042.961668,-210930078.496360,-2046169622.226749,+1097838229.276292,-488616194.516490,-888575016.210322
660000000.000,+2574786964.844298,-214175156.523608,-2077649154.945407,+1114728049.375169,-496133366.614650,-902245401.094202
