Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
850000000.000,+705878483.296363,-88653975.668034,-531947046.426523,+358681224.471152,-176430183.117916,-270567523.020465
860000000.000,+714182936.192481,-89696963.625631,-538205247.071970,+362901003.664553,-178505832.349588,-273750670.391280
870000000.000,+722487389.088599,-90739951.583228,-544463447.717417,+367120782.857954,-180581481.581260,-276933817.762095
880000000.000,+730791841.984717,-91782939.540824,-550721648.362863,+371340562.051356,-182657130.812933,-280116965.132911
890000000.000,+739096294.880836,-92825927.498421,-556979849.008310,+375560341.244757,-184732780.044605,-283300112.503726
900000000.000,+747400747.776954,-93868915.456018,-563238049.653757,+379780120.438158,-186808429.276277,-286483259.874541
910000000.000,+755705200.673072,-94911903.413615,-569496250.299204,+383999899.631560,-188884078.507950,-289666407.245357
920000000.000,+764009653.569190,-95954891.371211,-575754450.944650,+388219678.824961,-190959727.739622,-292849554.616172
930000000.000,+772314106.465308,-96997879.328808,-582012651.590097,+392439458.018362,-193035376.971294,-296032701.986987
940000000.000,+780618559.361426,-98040867.286405,-588270852.235544,+396659237.211764,-195111026.202966,-299215849.357802
950000000.000,+788923012.257545,-99083855.244002,-594529052.880991,+400879016.405165,-197186675.434639,-302398996.728618
960000000.000,+797227465.153663,-100126843.201599,-600787253.526438,+405098795.598566,-199262324.666311,-305582144.099433
970000000.000,+805531918.049781,-101169831.159195,-607045454.171884,+409318574.791968,-201337973.897983,-308765291.470248
980000000.000,+813836370.945899,-102212819.116792,-613303654.817331,+413538353.985369,-203413623.129656,-311948438.841063
990000000.000,+822140823.842017,-103255807.074389,-619561855.462778,+417758133.178770,-205489272.361328,-315131586.211879
1000000000.000,+830445276.738135,-104298795.031986,-625820056.108225,+421977912.372172,-207564921.593000,-318314733.582694
