Time,x1,y1,x2,y2,x3,y3,E_kin,E_pot,E_vac,E_total,Drift_pct
160000000.000,+624190777.61787617,-51921251.38219516,-503672519.01248479,+270237101.14313543,-120274756.10912168,-218726155.81647676,152.603751,0.000001,0.000000,152.603751,-8.34117598e+01
170000000.000,+663202701.88469136,-55166329.55845515,-535152051.73114324,+287126920.04991949,-127791928.35629308,-232396540.99838060,152.603751,0.000001,0.000000,152.603751,-8.34117598e+01
180000000.000,+702214626.15150654,-58411407.73471515,-566631584.44980168,+304016738.95670354,-135309100.62509859,-246066926.18028444,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
190000000.000,+741226550.41832173,-61656485.91097514,-598111117.16846013,+320906557.86348760,-142826273.02128160,-259737311.36218828,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
200000000.000,+780238474.68513691,-64901564.08723514,-629590649.88711858,+337796376.77027166,-150343445.41746461,-273407696.43569404,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
210000000.000,+819250398.95195210,-68146642.26349513,-661070182.60577703,+354686195.67705572,-157860617.81364763,-287078081.31957465,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
220000000.000,+858262323.21876729,-71391720.43975513,-692549715.32443547,+371576014.58383977,-165377790.20983064,-300748466.20345527,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
230000000.000,+897274247.48558247,-74636798.61601512,-724029248.04309392,+388465833.49062383,-172894962.60601366,-314418851.08733588,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
240000000.000,+936286171.75239766,-77881876.79227512,-755508780.76175237,+405355652.39740789,-180412135.00219667,-328089235.97121650,152.603751,0.000001,0.000000,152.603751,-8.34117599e+01
250000000.000,+975298096.01921284,-81126954.96853511,-786988313.48041081,+422245471.30419195,-187929307.39837968,-341759620.85509712,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
260000000.000,+1014310020.28602803,-84372033.14479510,-818467846.19906926,+439135290.21097600,-195446479.79456270,-355430005.73897773,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
270000000.000,+1053321944.55284321,-87617111.32105510,-849947378.91772771,+456025109.11776006,-202963652.19074571,-369100390.62285835,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
280000000.000,+1092333868.81965828,-90862189.49731509,-881426911.63638616,+472914928.02454412,-210480824.58692873,-382770775.50673896,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
290000000.000,+1131345793.08647346,-94107267.67357509,-912906444.35504460,+489804746.93132818,-217997996.98311174,-396441160.39061958,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
300000000.000,+1170357717.35328865,-97352345.84983508,-944385977.07370305,+506694565.83811224,-225515169.37929475,-410111545.27450019,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
310000000.000,+1209369641.62010384,-100597424.02609508,-975865509.79236150,+523584384.74489629,-233032341.77547777,-423781930.15838081,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
320000000.000,+1248381565.88691902,-103842502.20235507,-1007345042.51101995,+540474203.65168035,-240549514.17166078,-437452315.04226142,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
330000000.000,+1287393490.15373421,-107087580.37861507,-1038824575.22967839,+557364022.55846441,-248066686.56784379,-451122699.92614204,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
340000000.000,+1326405414.42054939,-110332658.55487506,-1070304107.94833684,+574253841.46524847,-255583858.96402681,-464793084.81002265,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
350000000.000,+1365417338.68736458,-113577736.73113506,-1101783640.66699529,+591143660.37203252,-263101031.36020982,-478463469.69390327,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
360000000.000,+1404429262.95417976,-116822814.90739505,-1133263173.38565373,+608033479.27881658,-270618203.66985637,-492133854.57778388,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
370000000.000,+1443441187.22099495,-120067893.08365504,-1164742706.10431218,+624923298.18560064,-278135375.76801616,-505804239.46166450,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
380000000.000,+1482453111.48781013,-123312971.25991504,-1196222238.82297063,+641813117.09238470,-285652547.86617595,-519474624.34554511,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
390000000.000,+1521465035.75462532,-126558049.43617503,-1227701771.54162908,+658702935.99916875,-293169719.96433574,-533145009.22942573,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
400000000.000,+1560476960.02144051,-129803127.61243503,-1259181304.26028752,+675592754.90595281,-300686892.06249553,-546815394.11330640,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
410000000.000,+1599488884.28825569,-133048205.78869502,-1290660836.97894597,+692482573.81273687,-308204064.16065532,-560485778.99718702,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
420000000.000,+1638500808.55507088,-136293283.86964700,-1322140369.69760442,+709372392.71952093,-315721236.25881511,-574156163.88106763,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
430000000.000,+1677512732.82188606,-139538361.89689538,-1353619902.41626287,+726262211.62630498,-323238408.35697490,-587826548.76494825,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
440000000.000,+1716524657.08870125,-142783439.92414376,-1385099435.13492131,+743152030.53308904,-330755580.45513469,-601496933.64882886,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
450000000.000,+1755536581.35551643,-146028517.95139214,-1416578967.85357976,+760041849.43987310,-338272752.55329448,-615167318.53270948,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
460000000.000,+1794548505.62233162,-149273595.97864053,-1448058500.57223821,+776931668.34665716,-345789924.65145427,-628837703.41659009,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
470000000.000,+1833560429.88914680,-152518674.00588891,-1479538033.29089665,+793821487.25344121,-353307096.74961406,-642508088.30047071,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
480000000.000,+1872572354.15596199,-155763752.03313729,-1511017566.00955510,+810711306.16022527,-360824268.84777385,-656178473.18435133,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
490000000.000,+1911584278.42277718,-159008830.06038567,-1542497098.72821355,+827601125.06700933,-368341440.94593364,-669848858.06823194,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
500000000.000,+1950596202.68959236,-162253908.08763406,-1573976631.44687200,+844490943.97379339,-375858613.04409343,-683519242.95211256,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
510000000.000,+1989608126.95640755,-165498986.11488244,-1605456164.16553044,+861380762.88057745,-383375785.14225322,-697189627.83599317,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
520000000.000,+2028620051.22322273,-168744064.14213082,-1636935696.88418889,+878270581.78736150,-390892957.24041301,-710860012.71987379,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
530000000.000,+2067631975.49003792,-171989142.16937920,-1668415229.60284734,+895160400.69414556,-398410129.33857280,-724530397.60375440,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
540000000.000,+2106643899.75685310,-175234220.19662759,-1699894762.32150578,+912050219.60092962,-405927301.43673259,-738200782.48763502,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
550000000.000,+2145655824.02366829,-178479298.22387597,-1731374295.04016423,+928940038.50771368,-413444473.53489238,-751871167.37151563,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
560000000.000,+2184667746.01800394,-181724376.25112435,-1762853827.75882268,+945829857.41449773,-420961645.63305217,-765541552.25539625,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
570000000.000,+2223679667.90063334,-184969454.27837273,-1794333360.47748113,+962719676.32128179,-428478817.73121196,-779211937.13927686,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
580000000.000,+2262691589.78326273,-188214532.30562112,-1825812893.19613957,+979609495.22806585,-435995989.82937175,-792882322.02315748,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
590000000.000,+2301703511.66589212,-191459610.33286950,-1857292425.91479802,+996499314.13484991,-443513161.92753154,-806552706.90703809,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
600000000.000,+2340715433.54852152,-194704688.36011788,-1888771958.63345647,+1013389133.04163396,-451030334.02569133,-820223091.79091871,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
610000000.000,+2379727355.43115091,-197949766.38736627,-1920251491.35211492,+1030278951.94841802,-458547506.12385112,-833893476.67479932,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
620000000.000,+2418739277.31378031,-201194844.41461465,-1951731024.07077336,+1047168770.85520208,-466064678.22201091,-847563861.55867994,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
630000000.000,+2457751199.19640970,-204439922.44186303,-1983210556.78943181,+1064058589.76198614,-473581850.32017070,-861234246.44256055,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
640000000.000,+2496763121.07903910,-207685000.46911141,-2014690089.50809026,+1080948409.17741489,-481099022.41833049,-874904631.32644117,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
650000000.000,+2535775042.96166849,-210930078.49635980,-2046169622.22674870,+1097838229.27629185,-488616194.51649028,-888575016.21032178,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
660000000.000,+2574786964.84429789,-214175156.52360818,-2077649154.94540715,+1114728049.37516880,-496133366.61465007,-902245401.09420240,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
670000000.000,+2613798886.72692728,-217420234.55085656,-2109128687.66406560,+1131617869.47404575,-503650538.71280986,-915915785.97808301,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
680000000.000,+2652810808.60955667,-220665312.57810494,-2140608220.38272405,+1148507689.57292271,-511167710.81096965,-929586170.86196363,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
690000000.000,+2691822730.49218607,-223910390.60535333,-2172087751.23792553,+1165397509.67179966,-518684882.90912944,-943256555.74584424,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
700000000.000,+2730834652.37481546,-227155468.63260171,-2203567281.57239819,+1182287329.77067661,-526202055.00728923,-956926940.62972486,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
710000000.000,+2769846574.25744486,-230400546.65985009,-2235046811.90687084,+1199177149.86955357,-533719227.10544902,-970597325.51360548,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
720000000.000,+2808858496.14007425,-233645624.68709847,-2266526342.24134350,+1216066969.96843052,-541236399.20360887,-984267710.39748609,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
730000000.000,+2847870418.02270365,-236890702.71434686,-2298005872.57581615,+1232956790.06730747,-548753571.30176866,-997938095.28136671,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
740000000.000,+2886882339.90533304,-240135780.74159524,-2329485402.91028881,+1249846610.16618443,-556270743.39992845,-1011608480.16524732,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
750000000.000,+2925894261.78796244,-243380858.76884362,-2360964933.24476147,+1266736430.26506138,-563787915.49808824,-1025278865.04912794,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
760000000.000,+2964906183.67059183,-246625936.79609200,-2392444463.57923412,+1283626250.36393833,-571305087.59624803,-1038949249.93300855,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
770000000.000,+3003918105.55322123,-249871014.82334039,-2423923993.91370678,+1300516070.46281528,-578822259.69440782,-1052619634.81688917,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
780000000.000,+3042930027.43585062,-253116092.85058877,-2455403524.24817944,+1317405890.56169224,-586339431.79256761,-1066290019.70076978,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
790000000.000,+3081941949.31848001,-256361170.87783715,-2486883054.58265209,+1334295710.66056919,-593856603.89072740,-1079960404.58465052,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
800000000.000,+3120953871.20110941,-259606248.90508553,-2518362584.91712475,+1351185530.75944614,-601373775.98888719,-1093630789.46853113,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
810000000.000,+3159965793.08373880,-262851326.93233392,-2549842115.25159740,+1368075350.85832310,-608890948.08704698,-1107301174.35241175,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
820000000.000,+3198977714.96636820,-266096404.95958230,-2581321645.58607006,+1384965170.95720005,-616408120.18520677,-1120971559.23629236,152.603751,0.000000,0.000000,152.603751,-8.34117599e+01
